"Source:","D:\repo\reflow-oven\hardware\reflow-oven-rev-001.sch"
"Date:","18/09/2019 8:32:10 AM"
"Tool:","Eeschema (5.0.0)"
"Generator:","D:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","87"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Digi-Key Part Number"
"","","BZ101","Piezo Buzzer","Device:Buzzer","my-library:PKM13EPYH4000-A0","","AUDIO PIEZO TRANSDUCER 30V TH","490-4698-1-ND"
"","","C101","10n, 50V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 10000PF 50V X7R 0805","1276-1015-1-ND"
"","","C102","10u, 50V","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","CAP CER 10UF 50V X5R 1206","1276-6736-1-ND"
"","","C103","4u7, 25V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 4.7UF 25V X5R 0805","732-7628-1-ND"
"","","C104","4u7, 25V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 4.7UF 25V X5R 0805","732-7628-1-ND"
"","","C105","2n2, 50V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 2200PF 50V X7R 0805","399-1151-1-ND"
"","","C106","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","C107","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","C108","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","C109","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","C110","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","C111","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","C112","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","C113","10n, 50V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 10000PF 50V X7R 0805","1276-1015-1-ND"
"","","C114","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","C115","10p","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 10PF 50V C0G/NP0 0805","1276-1109-1-ND"
"","","C116","10p","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 10PF 50V C0G/NP0 0805","1276-1109-1-ND"
"","","C117","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","CAP CER 0.1UF 50V X7R 0805","1276-2450-1-ND"
"","","D101","LED Red","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","LED RED CLEAR 0805 SMD","732-4978-1-ND"
